id,name,lng,lat,province,army,event,date
0,长汀,116.37,25.85,福建,hongyifang,红一/红九军团出发,1934年10月
1,瑞金,116.02709,25.88562,江西,hongyifang,长征出发地,1934年10月
2,于都,115.41544,25.95184,江西,hongyifang,红三/红五/红八军团集结渡河,1934年10月16日
3,信丰,114.92285,25.38617,江西,hongyifang,突破第一道封锁线,1934年10月21日
4,汝城,113.68493,25.55036,湖南,hongyifang,突破第二道封锁线,1934年11月
5,宜章,112.94887,25.39957,湖南,hongyifang,突破第三道封锁线,1934年11月14日
6,道县,111.60007,25.52753,湖南,hongyifang,荷塘决策,1934年11月24日
7,全州,111.07304,25.92861,广西,hongyifang,湘江战役觉山铺,1934年11月25日
8,兴安,110.67147,25.61169,广西,hongyifang,界首渡口,1934年12月1日
9,通道,109.78449,26.15794,湖南,hongyifang,通道转兵,1934年12月12日
10,黎平,109.13718,26.22924,贵州,hongyifang,黎平会议,1934年12月18日
11,猴场,107.47106,27.0779,贵州,hongyifang,猴场会议,1935年1月1日
12,遵义,106.82922,27.53625,贵州,hongyifang,遵义会议,1935年1月15日
13,娄山关,106.82502,28.13321,贵州,hongyifang,娄山关战役,1935年2月
14,扎西,105.04818,27.84069,云南,hongyifang,扎西会议,1935年2月
15,赤水,105.69744,28.59055,贵州,hongyifang,一渡赤水,1935年1月
16,会理,102.24457,26.65527,四川,hongyifang,会理会议,1935年5月
17,安顺场,102.22,29.25,四川,hongyifang,强渡大渡河,1935年5月24日
18,泸定,102.23471,29.91412,四川,hongyifang,飞夺泸定桥,1935年5月29日
19,宝兴,102.81457,30.36806,四川,hongyifang,翻越夹金山,1935年6月
20,达维,102.56,30.82,四川,hongyifang,与红四方面军会师,1935年6月12日
21,懋功,102.65,31.18,四川,hongyifang,两河口会议,1935年6月
22,毛儿盖,102.74,32.34,四川,hongyifang,毛儿盖会议,1935年8月
23,松潘草地,103.50,32.80,四川,hongyifang,过草地,1935年8月
24,巴西,103.44,34.07,四川,hongyifang,巴西会议,1935年8月
25,俄界,102.78,34.13,甘肃,hongyifang,俄界会议,1935年9月12日
26,腊子口,103.83,34.17,甘肃,hongyifang,腊子口战役,1935年9月17日
27,哈达铺,104.30,34.38,甘肃,hongyifang,确定到陕北,1935年9月
28,岷县,104.03697,34.43811,甘肃,hongyifang,哈达铺整编,1935年9月
29,通渭,105.24219,35.21087,甘肃,hongyifang,翻越六盘山前,1935年9月
30,六盘山,106.24,35.65,宁夏,hongyifang,清平乐六盘山,1935年10月7日
31,吴起镇,108.17587,36.92728,陕西,hongyifang,长征结束,1935年10月19日
101,何家冲,114.12,31.78,河南,hongershiwu,长征出发,1934年11月16日
102,独树镇,112.18,33.20,河南,hongershiwu,血战独树镇,1934年11月26日
103,卢氏,111.05,34.05,河南,hongershiwu,入陕,1934年11月
104,商洛,109.94,33.87,陕西,hongershiwu,创建根据地,1934年12月
105,蓝田,109.32,34.17,陕西,hongershiwu,威逼西安,1935年4月
106,沣峪口,108.80,33.97,陕西,hongershiwu,沣峪口会议,1935年7月15日
107,凤县,106.52,33.91,陕西,hongershiwu,入甘,1935年8月
108,通渭,105.24,35.21,甘肃,hongershiwu,翻越六盘山,1935年8月
109,永坪镇,109.89,36.88,陕西,hongershiwu,与陕北红军会师,1935年9月15日
201,桑植,110.17,29.40,湖南,hongershi,长征出发,1935年11月
202,大庸,110.48,29.13,湖南,hongershi,过沅水,1935年11月
203,玉屏,108.91,27.24,贵州,hongershi,进入贵州,1935年11月
204,金沙,105.83,26.68,贵州,hongershi,过金沙江,1936年3月
205,丽江,100.23,26.88,云南,hongershi,石鼓渡江,1936年4月
206,中甸,99.70,27.82,云南,hongershi,过藏区,1936年4月
207,甘孜,100.00,31.62,四川,hongershi,与红四方面军会师,1936年6月
208,阿坝,101.71,32.90,四川,hongershi,过草地,1936年7月
209,若尔盖,102.96,33.58,四川,hongershi,过草地,1936年8月
210,岷县,104.04,34.44,甘肃,hongershi,进入甘肃,1936年8月
211,会宁,105.05,35.70,甘肃,hongershi,会宁会师,1936年10月9日
212,将台堡,105.62,35.93,宁夏,hongershi,与红一方面军会师,1936年10月22日
301,通江,107.25,31.95,四川,hongsifang,川陕苏区,1935年3月
301a,苍溪,105.93,31.74,四川,hongsifang,强渡嘉陵江出发,1935年3月
302,广元,105.83,32.44,四川,hongsifang,渡嘉陵江,1935年3月
303,剑门关,105.53,32.28,四川,hongsifang,突破剑门关,1935年3月
304,江油,104.74,31.79,四川,hongsifang,中坝,1935年4月
305,茂县,103.89,31.68,四川,hongsifang,过羌区,1935年5月
306,懋功,102.65,31.18,四川,hongsifang,与红一方面军会师,1935年6月
307,两河口,102.76,31.25,四川,hongsifang,两河口会议,1935年6月
308,马尔康,102.21,31.91,四川,hongsifang,卓克基,1935年6月
309,阿坝,101.71,32.90,四川,hongsifang,南下川康边,1935年9月
310,甘孜,100.00,31.62,四川,hongsifang,与红二方面军会师,1936年6月
311,炉霍,100.67,31.41,四川,hongsifang,再次北上,1936年6月
312,若尔盖,102.96,33.58,四川,hongsifang,过草地,1936年8月
313,巴西,103.44,34.07,四川,hongsifang,包座战役,1936年8月
314,岷县,104.04,34.44,甘肃,hongsifang,进入甘肃,1936年9月
315,会宁,105.05,35.70,甘肃,hongsifang,会宁会师,1936年10月9日
